n,INS_czas_ns,INS_por,INS_przyp,INSD_czas_ns,INSD_por,INSD_przyp,M2_czas_ns,M2_por,M2_przyp,M3_czas_ns,M3_por,M3_przyp,H2_czas_ns,H2_por,H2_przyp,H3_czas_ns,H3_por,H3_przyp
100,7340,2476,2480,5970,1744,1698,20690,672,1542,20860,707,1650,10520,1028,1164,9560,1020,843
200,27370,10167,10173,21510,6891,6798,42460,1544,3486,45470,1631,3746,24180,2456,2729,21430,2419,1937
500,160030,63203,63209,122150,42352,42109,108580,4488,9974,130900,4899,11254,71770,7424,8087,61640,7271,5648
1000,632010,251632,251639,469960,168889,168398,219440,9976,21950,239390,10622,23784,159870,16836,18145,138470,16399,12535
2000,2614220,1013402,1013410,1902930,675079,674087,483530,21952,47902,498590,23160,50692,357680,37724,40339,308780,36790,27735
5000,33089180,6217856,6217865,22949150,4149934,4147444,2480610,61808,133614,2603560,65648,144416,1519290,107708,114269,1330030,104354,77565
10000,157938310,24900796,24900804,82056700,16615445,16610455,3701390,133616,287230,4263850,142183,311242,3048180,235414,248479,2558480,226598,167072
20000,310030700,99798044,99798054,225582910,66588368,66578380,6299860,287232,614462,6109440,300124,640880,5469100,510705,536776,4628730,493438,360868
50000,1646121180,625413016,625413025,1262847360,416929498,416904508,14091930,784464,1668926,14960820,826233,1770562,13297230,1409724,1474812,11482840,1358834,985760
100000,6484806260,2499306545,2499306554,4833272160,1665960303,1665910314,27762510,1668928,3537854,31965820,1781034,3843968,27549340,3019514,3149731,23682240,2897350,2091165
